current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
10.004,4.704075,2,5.299925
10.004,4.693877,2,5.310123
10.004,4.6821263,2,5.3218737
10.004,4.6704424,2,5.3335576
10.004,4.6619843,2,5.3420157
10.004,4.6489203,2,5.3550797
10.004,4.638676,2,5.365324
10.004,4.6269315,2,5.3770685
10.004,4.6152676,2,5.3887324
10.004,4.606816,2,5.397184
10.004,4.593732,2,5.410268
10.004,4.583541,2,5.420459
10.004,4.5717967,2,5.4322033
10.004,4.5600927,2,5.4439073
10.004,4.548389,2,5.455611
10.004,4.539857,2,5.464143
10.004,4.5267466,2,5.4772534
10.004,4.5165422,2,5.4874578
10.004,4.504778,2,5.499222
10.004,4.4963596,2,5.5076404
10.004,4.483356,2,5.520644
10.004,4.4731715,2,5.5308285
10.004,4.461421,2,5.542579
10.004,4.4497097,2,5.5542903
10.004,4.441305,2,5.562695
10.004,4.4281943,2,5.5758057
10.004,4.41799,2,5.58601
10.004,4.4062727,2,5.5977273
10.004,4.3978546,2,5.6061454
10.004,4.384824,2,5.619176
10.004,4.3746193,2,5.6293807
10.004,4.362902,2,5.641098
10.004,4.351211,2,5.652789
10.004,4.3427527,2,5.6612473
10.004,4.329656,2,5.674344
10.004,4.319471,2,5.684529
10.004,4.307707,2,5.696293
10.004,4.2959965,2,5.7080035
10.004,4.2875784,2,5.7164216
10.004,4.2744678,2,5.7295322
10.004,4.2642563,2,5.7397437
10.004,4.2525123,2,5.7514877
10.004,4.2441075,2,5.7598925
10.004,4.231077,2,5.772923
10.004,4.2209194,2,5.7830806
10.004,4.2091616,2,5.7948384
10.004,4.2007235,2,5.8032765
10.004,4.1876996,2,5.8163004
10.004,4.1775153,2,5.8264847
10.004,4.1657646,2,5.8382354
10.004,4.1573527,2,5.8466473
10.004,4.144329,2,5.859671
10.004,4.1341446,2,5.8698554
10.004,4.122387,2,5.881613
10.004,4.110696,2,5.893304
10.004,4.098972,2,5.905028
10.004,4.0904873,2,5.9135127
10.004,4.0773366,2,5.9266634
10.004,4.0671256,2,5.9368744
10.004,4.055375,2,5.948625
10.004,4.0436576,2,5.9603424
10.004,4.031933,2,5.972067
10.004,4.0234416,2,5.9805584
10.004,4.0103047,2,5.9936953
10.004,4.0001066,2,6.0038934
10.004,3.988336,2,6.015664
10.004,3.9766253,2,6.0273747
10.004,3.964908,2,6.039092
10.004,3.953077,2,6.050923
10.004,3.9412663,2,6.0627337
10.004,3.929442,2,6.074558
10.004,3.917638,2,6.086362
10.004,3.909093,2,6.094907
10.004,3.8959425,2,6.1080575
10.004,3.885678,2,6.118322
10.004,3.873934,2,6.130066
10.004,3.862223,2,6.141777
10.004,3.8504923,2,6.1535077
10.004,3.838715,2,6.165285
10.004,3.8268774,2,6.1771226
10.004,3.8183725,2,6.1856275
10.004,3.8051956,2,6.1988044
10.004,3.794984,2,6.209016
10.004,3.7832068,2,6.2207932
10.004,3.7714694,2,6.2325306
10.004,3.759759,2,6.244241
10.004,3.7479747,2,6.2560253
10.004,3.7361706,2,6.2678294
10.004,3.724333,2,6.279667
10.004,3.715815,2,6.288185
10.004,3.702644,2,6.301356
10.004,3.692413,2,6.311587
10.004,3.680669,2,6.323331
