timeslot,rl_storage_allocator,greedy_storage_allocator,actual_disk_usage
125,204465,204487.3561,200632
126,204471,204487.3561,200640
127,204478,204487.3561,200644
128,204484,204487.3561,200660
129,204490,204587.3561,200668
130,204496,204587.3561,200672
131,204503,204587.3561,200680
132,204509,204587.3561,200688
133,204515,204587.3561,200692
134,204521,204587.3561,200700
135,204527,204587.3561,200704
136,204534,204587.3561,200712
137,204540,204587.3561,200720
138,204546,204587.3561,200724
139,204552,204587.3561,200740
140,204559,204587.3561,200744
141,204565,204587.3561,200752
142,204571,204587.3561,200760
143,204577,204587.3561,200764
144,204583,204587.3561,200772
145,204590,204687.3561,200780
146,204596,204687.3561,200784
147,204602,204687.3561,200792
148,204608,204687.3561,200800
149,204615,204687.3561,200804
150,204621,204687.3561,200812
151,204627,204687.3561,200824
152,204633,204687.3561,200832
153,204640,204687.3561,200840
154,204646,204687.3561,200844
155,204652,204687.3561,200852
156,204658,204687.3561,200856
157,204664,204687.3561,200864
158,204671,204687.3561,200872
159,204677,204687.3561,200876
160,204683,204687.3561,200884
161,204689,204787.3561,200888
162,204696,204787.3561,200904
163,204702,204787.3561,200912
164,204708,204787.3561,200916
165,204714,204787.3561,200924
166,204720,204787.3561,200928
167,204727,204787.3561,200936
168,204733,204787.3561,200944
169,204739,204787.3561,200948
170,204745,204787.3561,200956
171,204752,204787.3561,200964
172,204758,204787.3561,200968
173,204764,204787.3561,200984
174,204770,204787.3561,200992
175,204776,204787.3561,200996
176,204783,204787.3561,201004
177,204789,204887.3561,201008
178,204795,204887.3561,201016
179,204801,204887.3561,201024
180,204808,204887.3561,201028
181,204814,204887.3561,201036
182,204820,204887.3561,201044
183,204826,204887.3561,201048
184,204832,204887.3561,201064
185,204839,204887.3561,201068
186,204845,204887.3561,201076
187,204851,204887.3561,201084
188,204857,204887.3561,201088
189,204864,204887.3561,201096
190,204870,204887.3561,201104
191,204876,204887.3561,201108
192,204882,204887.3561,201116
193,204888,204987.3561,201120
194,204895,204987.3561,201128
195,204901,204987.3561,201144
196,204907,204987.3561,201148
197,204913,204987.3561,201156
198,204920,204987.3561,201164
199,204926,204987.3561,201168
200,204932,204987.3561,201176
201,204938,204987.3561,201180
202,204944,204987.3561,201188
203,204951,204987.3561,201196
204,204957,204987.3561,201200
205,204963,204987.3561,201208
206,204969,204987.3561,201216
207,204976,204987.3561,201228
208,204982,204987.3561,201236
209,204988,205087.3561,201240
210,204994,205087.3561,201248
211,205000,205087.3561,201256
212,205007,205087.3561,201260
213,205013,205087.3561,201268
214,205019,205087.3561,201272
215,205025,205087.3561,201280
216,205032,205087.3561,201288
217,205038,205087.3561,201292
218,205044,205087.3561,201308
219,205050,205087.3561,201316
220,205056,205087.3561,201320
221,205063,205087.3561,201328
222,205069,205087.3561,201336
223,205075,205087.3561,201340
224,205081,205087.3561,201348
225,205088,205187.3561,201356
226,205094,205187.3561,201360
227,205100,205187.3561,201368
228,205106,205187.3561,201376
229,205112,205187.3561,201388
230,205119,205187.3561,201396
231,205125,205187.3561,201404
232,205131,205187.3561,201408
233,205137,205187.3561,201416
234,205144,205187.3561,201420
235,205150,205187.3561,201428
236,205156,205187.3561,201436
237,205162,205187.3561,201440
238,205168,205187.3561,201448
239,205175,205187.3561,201456
240,205181,205187.3561,201468
241,205187,205187.3561,201476
242,205193,205287.3561,201484
243,205200,205287.3561,201488
244,205206,205287.3561,201496
245,205212,205287.3561,201504
246,205218,205287.3561,201508
247,205224,205287.3561,201516
248,205231,205287.3561,201520
249,205237,205287.3561,201528
250,205243,205287.3561,201536
251,205249,205287.3561,201548
252,205256,205287.3561,201556
253,205262,205287.3561,201564
254,205268,205287.3561,201568
255,205274,205287.3561,201576
256,205280,205287.3561,201584
257,205287,205287.3561,201588
258,205293,205387.3561,201596
259,205299,205387.3561,201600
260,205305,205387.3561,201608
261,205312,205387.3561,201616
262,205318,205387.3561,201628
263,205324,205387.3561,201636
264,205330,205387.3561,201640
265,205336,205387.3561,201648
266,205343,205387.3561,201656
267,205349,205387.3561,201660
268,205355,205387.3561,201668
269,205361,205387.3561,201676
270,205368,205387.3561,201680
271,205374,205387.3561,201688
272,205380,205387.3561,201696
273,205386,205387.3561,201708
274,205393,205487.3561,201716
275,205399,205487.3561,201720
276,205405,205487.3561,201728
277,205411,205487.3561,201736
278,205417,205487.3561,201740
279,205424,205487.3561,201748
280,205430,205487.3561,201756
281,205436,205487.3561,201760
282,205442,205487.3561,201768
283,205449,205487.3561,201772
284,205455,205487.3561,201788
285,205461,205487.3561,201796
286,205467,205487.3561,201800
287,205473,205487.3561,201808
288,205480,205487.3561,201816
289,205486,205487.3561,201820
290,205492,205587.3561,201828
291,205498,205587.3561,201836
292,205505,205587.3561,201840
293,205511,205587.3561,201848
294,205517,205587.3561,201856
295,205523,205587.3561,201868
296,205529,205587.3561,201876
297,205536,205587.3561,201880
298,205542,205587.3561,201888
299,205548,205587.3561,201896
300,205554,205587.3561,201900
301,205561,205587.3561,201908
302,205567,205587.3561,201916
303,205573,205587.3561,201920
304,205579,205587.3561,201928
305,205585,205587.3561,201936
306,205592,205687.3561,201948
307,205598,205687.3561,201956
308,205604,205687.3561,201964
309,205610,205687.3561,201968
310,205617,205687.3561,201976
311,205623,205687.3561,201984
312,205629,205687.3561,201988
313,205635,205687.3561,201996
314,205641,205687.3561,202004
315,205648,205687.3561,202008
316,205654,205687.3561,202016
317,205660,205687.3561,202028
318,205666,205687.3561,202036
319,205673,205687.3561,202044
320,205679,205687.3561,202048
321,205685,205687.3561,202056
322,205691,205787.3561,202064
323,205697,205787.3561,202068
324,205704,205787.3561,202076
325,205710,205787.3561,202080
326,205716,205787.3561,202088
327,205722,205787.3561,202096
328,205729,205787.3561,202108
329,205735,205787.3561,202116
330,205741,205787.3561,202124
331,205747,205787.3561,202128
332,205753,205787.3561,202136
333,205760,205787.3561,202144
334,205766,205787.3561,202148
335,205772,205787.3561,202156
336,205778,205787.3561,202160
337,205785,205787.3561,202168
338,205791,205887.3561,202176
339,205797,205887.3561,202180
340,205803,205887.3561,202196
341,205809,205887.3561,202204
342,205816,205887.3561,202208
343,205822,205887.3561,202216
344,205828,205887.3561,202220
345,205834,205887.3561,202228
346,205841,205887.3561,202236
347,205847,205887.3561,202240
348,205853,205887.3561,202248
349,205859,205887.3561,202256
350,205865,205887.3561,202260
351,205872,205887.3561,204012
352,205878,205887.3561,204016
353,205884,205887.3561,204024
354,205890,205987.3561,204032
355,205897,205987.3561,204036
356,205903,205987.3561,204044
357,205909,205987.3561,204052
358,205915,205987.3561,204056
359,205921,205987.3561,204064
360,205928,205987.3561,204068
361,205934,205987.3561,204076
362,205940,205987.3561,207156
363,205946,205987.3561,207160
364,205953,205987.3561,207168
365,205959,205987.3561,207172
366,205965,205987.3561,207180
367,205971,205987.3561,207188
368,205977,205987.3561,207192
369,205984,205987.3561,207200
370,205990,206087.3561,207208
371,205996,206087.3561,207212
372,206002,206087.3561,207220
373,206009,206087.3561,207224
374,206015,206087.3561,207232
375,206021,206087.3561,207236
376,206027,206087.3561,207244
377,206033,206087.3561,207252
378,206040,206087.3561,207256
379,206046,206087.3561,207264
380,206052,206087.3561,207272
381,206058,206087.3561,207276
382,206065,206087.3561,207284
383,206071,206087.3561,207292
384,206077,206087.3561,207296
385,206083,206087.3561,207304
386,206089,206187.3561,207308
387,206096,206187.3561,207316
388,206102,206187.3561,207320
389,206108,206187.3561,207328
390,206114,206187.3561,207336
391,206121,206187.3561,207340
392,206127,206187.3561,207348
393,206133,206187.3561,207356
394,206139,206187.3561,207360
395,206146,206187.3561,207368
396,206152,206187.3561,207372
397,206158,206187.3561,207380
398,206164,206187.3561,207384
399,206170,206187.3561,207392
400,206177,206187.3561,207396
401,206183,206187.3561,207404
402,206189,206287.3561,207412
403,206195,206287.3561,207416
404,206202,206287.3561,207424
405,206208,206287.3561,207432
406,206214,206287.3561,207436
407,206220,206287.3561,207444
408,206226,206287.3561,207448
409,206233,206287.3561,207456
410,206239,206287.3561,207460
411,206245,206287.3561,207468
412,206251,206287.3561,207476
413,206258,206287.3561,207480
414,206264,206287.3561,207488
415,206270,206287.3561,207496
416,206276,206287.3561,207500
417,206282,206287.3561,207508
418,206289,206387.3561,207512
419,206295,206387.3561,207520
420,206301,206387.3561,207524
421,206307,206387.3561,207532
422,206314,206387.3561,207540
423,206320,206387.3561,207544
424,206326,206387.3561,207552
425,206332,206387.3561,207560
426,206338,206387.3561,207564
427,206345,206387.3561,207572
428,206351,206387.3561,207576
429,206357,206387.3561,207584
430,206363,206387.3561,207588
431,206370,206387.3561,207596
432,206376,206387.3561,207604
433,206382,206387.3561,207608
434,206388,206487.3561,207616
435,206394,206487.3561,207620
436,206401,206487.3561,207628
437,206407,206487.3561,207632
438,206413,206487.3561,207640
439,206419,206487.3561,207648
440,206426,206487.3561,207652
441,206432,206487.3561,207660
442,206438,206487.3561,207664
443,206444,206487.3561,207672
444,206450,206487.3561,207680
445,206457,206487.3561,207684
446,206463,206487.3561,207692
447,206469,206487.3561,207696
448,206475,206487.3561,207704
449,206482,206487.3561,207712
450,206488,206587.3561,207716
451,206494,206587.3561,207724
452,206500,206587.3561,207728
453,206506,206587.3561,207736
454,206513,206587.3561,207744
455,206519,206587.3561,207748
456,206525,206587.3561,207756
457,206531,206587.3561,207760
458,206538,206587.3561,207768
459,206544,206587.3561,207776
460,206550,206587.3561,207780
461,206556,206587.3561,207788
462,206562,206587.3561,207792
463,206569,206587.3561,207800
464,206575,206587.3561,207808
465,206581,206587.3561,207812
466,206587,206587.3561,207820
467,206594,206687.3561,207824
468,206600,206687.3561,207832
469,206606,206687.3561,207840
470,206612,206687.3561,207844
471,206618,206687.3561,207852
472,206625,206687.3561,207856
473,206631,206687.3561,207864
474,206637,206687.3561,207872
475,206643,206687.3561,207876
476,206650,206687.3561,207884
477,206656,206687.3561,207888
478,206662,206687.3561,207896
479,206668,206687.3561,207904
480,206674,206687.3561,207908
481,206681,206687.3561,207916
482,206687,206687.3561,207920
483,206693,206787.3561,207928
484,206699,206787.3561,207932
485,206706,206787.3561,207940
486,206712,206787.3561,207944
487,206718,206787.3561,207952
488,206724,206787.3561,207960
489,206730,206787.3561,207964
490,206737,206787.3561,207972
491,206743,206787.3561,207976
492,206749,206787.3561,207984
493,206755,206787.3561,207988
494,206762,206787.3561,207996
495,206768,206787.3561,208004
496,206774,206787.3561,208008
497,206780,206787.3561,208016
498,206786,206787.3561,208020
499,206793,206887.3561,208028
500,206799,206887.3561,208032
501,206805,206887.3561,208040
502,206811,206887.3561,208048
503,206818,206887.3561,208052
504,206824,206887.3561,208060
505,206830,206887.3561,208064
506,206836,206887.3561,208072
507,206843,206887.3561,208076
508,206849,206887.3561,208084
509,206855,206887.3561,208092
510,206861,206887.3561,208096
511,206867,206887.3561,208104
512,206874,206887.3561,208108
513,206880,206887.3561,208116
514,206886,206887.3561,208124
515,206892,206987.3561,208128
516,206899,206987.3561,208136
517,206905,206987.3561,208140
518,206911,206987.3561,208148
519,206917,206987.3561,208156
520,206923,206987.3561,208160
521,206930,206987.3561,208168
522,206936,206987.3561,208172
523,206942,206987.3561,208180
524,206948,206987.3561,208184
525,206955,206987.3561,208192
526,206961,206987.3561,208200
527,206967,206987.3561,208204
528,206973,206987.3561,208212
529,206979,206987.3561,208220
530,206986,206987.3561,208224
531,206992,207087.3561,208232
532,206998,207087.3561,208236
533,207004,207087.3561,208244
534,207011,207087.3561,208252
535,207017,207087.3561,208256
536,207023,207087.3561,208264
537,207029,207087.3561,208272
538,207035,207087.3561,208276
539,207042,207087.3561,208284
540,207048,207087.3561,208288
541,207054,207087.3561,208296
542,207060,207087.3561,208304
543,207067,207087.3561,208308
544,207073,207087.3561,208316
545,207079,207087.3561,208320
546,207085,207087.3561,208328
547,207091,207187.3561,208332
548,207098,207187.3561,208340
549,207104,207187.3561,208344
550,207110,207187.3561,208352
551,207116,207187.3561,208360
552,207123,207187.3561,208364
553,207129,207187.3561,208372
554,207135,207187.3561,208376
555,207141,207187.3561,208384
556,207147,207187.3561,208392
557,207154,207187.3561,208396
558,207160,207187.3561,208404
559,207166,207187.3561,208408
560,207172,207187.3561,208416
561,207179,207187.3561,208420
562,207185,207187.3561,208428
563,207191,207287.3561,208436
564,207197,207287.3561,208440
565,207203,207287.3561,208448
566,207210,207287.3561,208456
567,207216,207287.3561,208460
568,207222,207287.3561,208468
569,207228,207287.3561,208472
570,207235,207287.3561,208480
571,207241,207287.3561,208484
572,207247,207287.3561,208492
573,207253,207287.3561,208500
574,207259,207287.3561,208504
575,207266,207287.3561,208512
576,207272,207287.3561,208520
577,207278,207287.3561,208524
578,207284,207287.3561,208532
579,207291,207387.3561,208536
580,207297,207387.3561,208544
581,207303,207387.3561,208548
582,207309,207387.3561,208556
583,207315,207387.3561,208564
584,207322,207387.3561,208568
585,207328,207387.3561,208576
586,207334,207387.3561,208584
587,207340,207387.3561,208588
588,207347,207387.3561,208596
589,207353,207387.3561,208600
590,207359,207387.3561,208608
591,207365,207387.3561,208616
592,207371,207387.3561,208620
593,207378,207387.3561,208628
594,207384,207387.3561,208632
595,207390,207487.3561,208640
596,207396,207487.3561,208648
597,207403,207487.3561,208652
598,207409,207487.3561,208660
599,207415,207487.3561,208668
600,207421,207487.3561,208672
601,207427,207487.3561,208680
602,207434,207487.3561,208684
603,207440,207487.3561,208692
604,207446,207487.3561,208700
605,207452,207487.3561,208704
606,207459,207487.3561,208712
607,207465,207487.3561,208716
608,207471,207487.3561,208724
609,207477,207487.3561,208728
610,207483,207487.3561,208736
611,207490,207587.3561,208740
612,207496,207587.3561,208748
613,207502,207587.3561,208756
614,207508,207587.3561,208760
615,207515,207587.3561,208768
616,207521,207587.3561,208772
617,207527,207587.3561,208780
618,207533,207587.3561,208788
619,207539,207587.3561,208792
620,207546,207587.3561,208800
621,207552,207587.3561,208808
622,207558,207587.3561,208812
623,207564,207587.3561,208820
624,207571,207587.3561,208824
625,207577,207587.3561,208832
626,207583,207587.3561,208840
627,207589,207687.3561,208844
628,207596,207687.3561,208852
629,207602,207687.3561,208856
630,207608,207687.3561,208864
631,207614,207687.3561,208872
632,207620,207687.3561,208876
633,207627,207687.3561,208884
634,207633,207687.3561,208892
635,207639,207687.3561,208896
636,207645,207687.3561,208904
637,207652,207687.3561,208908
638,207658,207687.3561,208916
639,207664,207687.3561,208924
640,207670,207687.3561,208928
641,207676,207687.3561,208936
642,207683,207687.3561,208940
643,207689,207787.3561,208948
644,207695,207787.3561,208956
645,207701,207787.3561,208960
646,207708,207787.3561,208968
647,207714,207787.3561,208972
648,207720,207787.3561,208980
649,207726,207787.3561,208988
650,207732,207787.3561,208992
651,207739,207787.3561,209000
652,207745,207787.3561,209004
653,207751,207787.3561,209012
654,207757,207787.3561,209020
655,207764,207787.3561,209024
656,207770,207787.3561,209032
657,207776,207787.3561,209036
658,207782,207787.3561,209044
659,207788,207887.3561,209048
660,207795,207887.3561,209056
661,207801,207887.3561,209064
662,207807,207887.3561,209068
663,207813,207887.3561,209076
664,207820,207887.3561,209084
665,207826,207887.3561,209088
666,207832,207887.3561,209096
667,207838,207887.3561,209100
668,207844,207887.3561,209108
669,207851,207887.3561,209116
670,207857,207887.3561,209120
671,207863,207887.3561,209128
672,207869,207887.3561,209132
673,207876,207887.3561,209140
674,207882,207887.3561,209148
675,207888,207987.3561,209152
676,207894,207987.3561,209160
677,207900,207987.3561,209164
678,207907,207987.3561,209172
679,207913,207987.3561,209180
680,207919,207987.3561,209184
681,207925,207987.3561,209192
682,207932,207987.3561,209200
683,207938,207987.3561,209204
684,207944,207987.3561,209212
685,207950,207987.3561,209216
686,207956,207987.3561,209224
687,207963,207987.3561,209232
688,207969,207987.3561,209236
689,207975,207987.3561,209244
690,207981,207987.3561,209252
691,207988,208087.3561,209256
692,207994,208087.3561,209264
693,208000,208087.3561,209268
694,208006,208087.3561,209276
695,208012,208087.3561,209284
696,208019,208087.3561,209288
697,208025,208087.3561,209296
698,208031,208087.3561,209300
699,208037,208087.3561,209308
700,208044,208087.3561,209316
701,208050,208087.3561,209320
702,208056,208087.3561,209328
703,208062,208087.3561,209332
704,208068,208087.3561,209340
705,208075,208087.3561,209348
706,208081,208087.3561,209352
707,208087,208087.3561,209360
708,208093,208187.3561,209364
709,208100,208187.3561,209372
710,208106,208187.3561,209380
711,208112,208187.3561,209384
712,208118,208187.3561,209392
713,208124,208187.3561,209396
714,208131,208187.3561,209404
715,208137,208187.3561,209412
716,208143,208187.3561,209416
717,208149,208187.3561,209424
718,208156,208187.3561,209432
719,208162,208187.3561,209436
720,208168,208187.3561,209444
721,208174,208187.3561,209448
722,208180,208187.3561,209456
723,208187,208187.3561,209464
724,208193,208287.3561,209468
725,208199,208287.3561,209476
726,208205,208287.3561,209484
727,208212,208287.3561,209488
728,208218,208287.3561,209496
729,208224,208287.3561,209504
730,208230,208287.3561,209508
731,208236,208287.3561,209516
732,208243,208287.3561,209520
733,208249,208287.3561,209528
734,208255,208287.3561,209532
735,208261,208287.3561,209540
736,208268,208287.3561,209548
737,208274,208287.3561,209556
738,208280,208287.3561,209560
739,208286,208287.3561,209568
740,208292,208387.3561,209572
741,208299,208387.3561,209580
742,208305,208387.3561,209588
743,208311,208387.3561,209592
744,208317,208387.3561,209600
745,208324,208387.3561,209608
746,208330,208387.3561,209612
747,208336,208387.3561,209620
748,208342,208387.3561,209628
749,208349,208387.3561,209632
750,208355,208387.3561,209640
751,208361,208387.3561,209644
752,208367,208387.3561,209652
753,208373,208387.3561,209660
754,208380,208387.3561,209664
755,208386,208387.3561,209672
756,208392,208487.3561,209680
757,208398,208487.3561,209684
758,208405,208487.3561,209692
759,208411,208487.3561,209696
760,208417,208487.3561,209704
761,208423,208487.3561,209708
762,208429,208487.3561,209716
763,208436,208487.3561,209720
764,208442,208487.3561,209728
765,208448,208487.3561,209736
766,208454,208487.3561,209740
767,208461,208487.3561,209748
768,208467,208487.3561,209756
769,208473,208487.3561,209760
770,208479,208487.3561,209768
771,208485,208487.3561,209776
772,208492,208587.3561,209780
773,208498,208587.3561,209788
774,208504,208587.3561,209792
775,208510,208587.3561,209800
776,208517,208587.3561,209808
777,208523,208587.3561,209812
778,208529,208587.3561,209820
779,208535,208587.3561,209828
780,208541,208587.3561,209832
781,208548,208587.3561,209840
782,208554,208587.3561,209844
783,208560,208587.3561,209852
784,208566,208587.3561,209860
785,208573,208587.3561,209864
786,208579,208587.3561,209872
787,208585,208587.3561,209876
788,208591,208687.3561,209884
789,208597,208687.3561,209892
790,208604,208687.3561,209896
791,208610,208687.3561,209904
792,208616,208687.3561,209908
793,208622,208687.3561,209916
794,208629,208687.3561,209924
795,208635,208687.3561,209928
796,208641,208687.3561,209936
797,208647,208687.3561,209944
798,208653,208687.3561,209948
799,208660,208687.3561,209956
800,208666,208687.3561,209960
801,208672,208687.3561,209968
802,208678,208687.3561,209976
803,208685,208687.3561,209980
804,208691,208787.3561,209988
805,208697,208787.3561,209992
806,208703,208787.3561,210000
807,208709,208787.3561,210008
808,208716,208787.3561,210012
809,208722,208787.3561,210020
810,208728,208787.3561,210028
811,208734,208787.3561,210032
812,208741,208787.3561,210040
813,208747,208787.3561,210044
814,208753,208787.3561,210052
815,208759,208787.3561,210060
816,208765,208787.3561,210064
817,208772,208787.3561,210072
818,208778,208787.3561,210080
819,208784,208787.3561,210084
820,208790,208887.3561,210092
821,208797,208887.3561,210096
822,208803,208887.3561,210104
823,208809,208887.3561,210108
824,208815,208887.3561,210116
825,208821,208887.3561,210124
826,208828,208887.3561,210128
827,208834,208887.3561,210136
828,208840,208887.3561,210144
829,208846,208887.3561,210148
830,208853,208887.3561,210156
831,208859,208887.3561,210160
832,208865,208887.3561,210168
833,208871,208887.3561,210176
834,208877,208887.3561,210180
835,208884,208887.3561,210188
836,208890,208987.3561,210196
837,208896,208987.3561,210200
838,208902,208987.3561,210208
839,208909,208987.3561,210212
840,208915,208987.3561,210220
841,208921,208987.3561,210228
842,208927,208987.3561,210232
843,208933,208987.3561,210240
844,208940,208987.3561,210244
845,208946,208987.3561,210252
846,208952,208987.3561,210260
847,208958,208987.3561,210264
848,208965,208987.3561,210272
849,208971,208987.3561,210276
850,208977,208987.3561,210284
851,208983,208987.3561,210292
852,208989,209087.3561,210296
853,208996,209087.3561,210304
854,209002,209087.3561,210312
855,209008,209087.3561,210316
856,209014,209087.3561,210324
857,209021,209087.3561,210332
858,209027,209087.3561,210336
859,209033,209087.3561,210344
860,209039,209087.3561,210348
861,209046,209087.3561,210356
862,209052,209087.3561,210360
863,209058,209087.3561,210368
864,209064,209087.3561,210376
865,209070,209087.3561,210380
866,209077,209087.3561,210388
867,209083,209087.3561,210392
868,209089,209187.3561,210400
869,209095,209187.3561,210408
870,209102,209187.3561,210412
871,209108,209187.3561,210420
872,209114,209187.3561,210424
873,209120,209187.3561,210432
874,209126,209187.3561,210440
875,209133,209187.3561,210444
876,209139,209187.3561,210452
877,209145,209187.3561,210460
878,209151,209187.3561,210464
879,209158,209187.3561,210472
880,209164,209187.3561,210476
881,209170,209187.3561,210484
882,209176,209187.3561,210492
883,209182,209187.3561,210496
884,209189,209287.3561,210504
885,209195,209287.3561,210508
886,209201,209287.3561,210516
887,209207,209287.3561,210524
888,209214,209287.3561,210528
889,209220,209287.3561,210536
890,209226,209287.3561,210544
891,209232,209287.3561,210548
892,209238,209287.3561,210556
893,209245,209287.3561,210560
894,209251,209287.3561,210568
895,209257,209287.3561,210576
896,209263,209287.3561,210580
897,209270,209287.3561,210588
898,209276,209287.3561,210596
899,209282,209287.3561,210600
900,209288,209387.3561,210608
901,209294,209387.3561,210612
902,209301,209387.3561,210620
903,209307,209387.3561,210628
904,209313,209387.3561,210632
905,209319,209387.3561,210640
906,209326,209387.3561,210648
907,209332,209387.3561,210652
908,209338,209387.3561,210660
909,209344,209387.3561,210668
910,209350,209387.3561,210672
911,209357,209387.3561,210680
912,209363,209387.3561,210684
913,209369,209387.3561,210692
914,209375,209387.3561,210696
915,209382,209387.3561,210704
916,209388,209487.3561,210712
917,209394,209487.3561,210716
918,209400,209487.3561,210724
919,209406,209487.3561,210732
920,209413,209487.3561,210736
921,209419,209487.3561,210744
922,209425,209487.3561,210748
923,209431,209487.3561,210756
924,209438,209487.3561,210764
925,209444,209487.3561,210768
926,209450,209487.3561,210776
927,209456,209487.3561,210780
928,209462,209487.3561,210788
929,209469,209487.3561,210796
930,209475,209487.3561,210800
931,209481,209487.3561,210808
932,209487,209487.3561,210816
933,209494,209587.3561,210820
934,209500,209587.3561,210828
935,209506,209587.3561,210836
936,209512,209587.3561,210840
937,209518,209587.3561,210848
938,209525,209587.3561,210856
939,209531,209587.3561,210860
940,209537,209587.3561,210868
941,209543,209587.3561,210872
942,209550,209587.3561,210880
943,209556,209587.3561,210888
944,209562,209587.3561,210892
945,209568,209587.3561,210900
946,209574,209587.3561,210904
947,209581,209587.3561,210912
948,209587,209587.3561,210916
949,209593,209687.3561,210924
950,209599,209687.3561,210932
951,209606,209687.3561,210936
952,209612,209687.3561,210944
953,209618,209687.3561,210948
954,209624,209687.3561,210956
955,209630,209687.3561,210964
956,209637,209687.3561,210968
957,209643,209687.3561,210976
958,209649,209687.3561,210984
959,209655,209687.3561,210988
960,209662,209687.3561,210996
961,209668,209687.3561,211000
962,209674,209687.3561,211008
963,209680,209687.3561,211016
964,209686,209687.3561,211020
965,209693,209787.3561,211028
966,209699,209787.3561,211032
967,209705,209787.3561,211040
968,209711,209787.3561,211048
969,209718,209787.3561,211052
970,209724,209787.3561,211060
971,209730,209787.3561,211064
972,209736,209787.3561,211072
973,209742,209787.3561,211080
974,209749,209787.3561,211084
975,209755,209787.3561,211092
976,209761,209787.3561,211100
977,209767,209787.3561,211104
978,209774,209787.3561,211112
979,209780,209787.3561,211116
980,209786,209787.3561,211124
981,209792,209887.3561,211132
982,209799,209887.3561,211136
983,209805,209887.3561,211144
984,209811,209887.3561,211148
985,209817,209887.3561,211156
986,209823,209887.3561,211164
987,209830,209887.3561,211168
988,209836,209887.3561,211176
989,209842,209887.3561,211184
990,209848,209887.3561,211188
991,209855,209887.3561,211196
992,209861,209887.3561,211204
993,209867,209887.3561,211208
994,209873,209887.3561,211216
