rewards,downtime
124,40.12400000000017
125,40.125600000000176
126,40.126400000000174
127,40.12800000000018
128,40.128800000000176
129,40.132000000000176
130,40.13360000000018
131,40.13440000000018
132,40.13600000000018
133,40.137600000000184
134,40.13840000000018
135,40.140000000000185
136,40.14080000000018
137,40.14240000000019
138,40.14400000000019
139,40.14480000000019
140,40.14800000000019
141,40.148800000000186
142,40.15040000000019
143,40.15200000000019
144,40.15280000000019
145,40.154400000000194
146,40.1560000000002
147,40.156800000000196
148,40.1584000000002
149,40.1600000000002
150,40.1608000000002
151,40.162400000000204
152,40.164800000000206
153,40.16640000000021
154,40.16800000000021
155,40.16880000000021
156,40.170400000000214
157,40.17120000000021
158,40.172800000000215
159,40.17440000000022
160,40.17520000000022
161,40.17680000000022
162,40.17760000000022
163,40.18080000000022
164,40.18240000000022
165,40.18320000000022
166,40.18480000000022
167,40.18560000000022
168,40.187200000000225
169,40.18880000000023
170,40.189600000000226
171,40.19120000000023
172,40.19280000000023
173,40.19360000000023
174,40.19680000000023
175,40.198400000000234
176,40.19920000000023
177,40.200800000000235
178,40.201600000000234
179,40.20320000000024
180,40.20480000000024
181,40.20560000000024
182,40.20720000000024
183,40.208800000000245
184,40.20960000000024
185,40.21280000000024
186,40.21360000000024
187,40.215200000000245
188,40.21680000000025
189,40.217600000000246
190,40.21920000000025
191,40.22080000000025
192,40.22160000000025
193,40.223200000000254
194,40.22400000000025
195,40.225600000000256
196,40.228800000000255
197,40.229600000000254
198,40.23120000000026
199,40.23280000000026
200,40.23360000000026
201,40.23520000000026
202,40.23600000000026
203,40.23760000000026
204,40.23920000000027
205,40.240000000000265
206,40.24160000000027
207,40.24320000000027
208,40.24560000000027
209,40.24720000000028
210,40.248000000000275
211,40.24960000000028
212,40.25120000000028
213,40.25200000000028
214,40.25360000000028
215,40.25440000000028
216,40.256000000000284
217,40.25760000000029
218,40.258400000000286
219,40.261600000000286
220,40.26320000000029
221,40.26400000000029
222,40.26560000000029
223,40.267200000000294
224,40.26800000000029
225,40.269600000000295
226,40.2712000000003
227,40.2720000000003
228,40.2736000000003
229,40.275200000000304
230,40.277600000000305
231,40.27920000000031
232,40.28080000000031
233,40.28160000000031
234,40.28320000000031
235,40.28400000000031
236,40.285600000000315
237,40.28720000000032
238,40.28800000000032
239,40.28960000000032
240,40.29120000000032
241,40.293600000000325
242,40.29520000000033
243,40.29680000000033
244,40.29760000000033
245,40.29920000000033
246,40.300800000000336
247,40.301600000000334
248,40.30320000000034
249,40.304000000000336
250,40.30560000000034
251,40.30720000000034
252,40.309600000000344
253,40.31120000000035
254,40.31280000000035
255,40.31360000000035
256,40.31520000000035
257,40.316800000000356
258,40.317600000000354
259,40.31920000000036
260,40.320000000000356
261,40.32160000000036
262,40.32320000000036
263,40.325600000000364
264,40.32720000000037
265,40.328000000000365
266,40.32960000000037
267,40.33120000000037
268,40.33200000000037
269,40.333600000000374
270,40.33520000000038
271,40.336000000000375
272,40.33760000000038
273,40.33920000000038
274,40.34160000000038
275,40.34320000000039
276,40.344000000000385
277,40.34560000000039
278,40.34720000000039
279,40.34800000000039
280,40.34960000000039
281,40.3512000000004
282,40.352000000000395
283,40.3536000000004
284,40.354400000000396
285,40.357600000000396
286,40.3592000000004
287,40.3600000000004
288,40.3616000000004
289,40.363200000000404
290,40.3640000000004
291,40.365600000000406
292,40.36720000000041
293,40.36800000000041
294,40.36960000000041
295,40.371200000000414
296,40.373600000000415
297,40.37520000000042
298,40.37600000000042
299,40.37760000000042
300,40.379200000000424
