Time,Disk_Usage,,Reference_Time
1631994625,0,,934
1631994626,0,,935
1631994628,304,,937
1631994630,306,,939
1631994631,306,,940
1631994633,0,,942
1631994634,0,,943
1631994636,305,,945
1631994638,306,,947
1631994639,306,,948
1631994641,0,,950
1631994643,0,,952
1631994644,305,,953
1631994646,305,,955
1631994648,306,,957
1631994649,0,,958
1631994651,0,,960
1631994652,306,,961
1631994654,306,,963
1631994656,0,,965
1631994657,0,,966
1631994659,0,,968
1631994661,306,,970
1631994662,306,,971
1631994664,0,,973
1631994665,0,,974
1631994667,0,,976
1631994669,305,,978
1631994670,305,,979
1631994672,0,,981
1631994674,0,,983
1631994675,306,,984
1631994677,306,,986
1631994678,306,,987
1631994680,0,,989
1631994682,0,,991
1631994683,305,,992
1631994685,305,,994
1631994686,0,,995
1631994688,0,,997
1631994690,0,,999
1631994691,306,,1000
1631994693,306,,1002
1631994695,0,,1004
1631994696,0,,1005
1631994698,0,,1007
1631994700,306,,1009
1631994701,306,,1010
1631994703,0,,1012
1631994704,0,,1013
1631994706,306,,1015
1631994708,306,,1017
1631994709,306,,1018
1631994711,0,,1020
1631994713,0,,1022
1631994714,306,,1023
1631994716,306,,1025
1631994717,0,,1026
1631994719,0,,1028
1631994721,0,,1030
1631994722,306,,1031
1631994724,306,,1033
1631994726,0,,1035
1631994727,0,,1036
1631994729,306,,1038
1631994730,306,,1039
1631994732,306,,1041
1631994734,0,,1043
1631994735,0,,1044
1631994737,305,,1046
1631994739,306,,1048
1631994740,306,,1049
1631994742,0,,1051
1631994744,0,,1053
1631994745,305,,1054
1631994747,305,,1056
1631994748,0,,1057
1631994750,0,,1059
1631994752,0,,1061
1631994753,306,,1062
1631994755,306,,1064
1631994756,0,,1065
1631994758,0,,1067
1631994760,0,,1069
1631994761,306,,1070
1631994763,305,,1072
1631994765,0,,1074
1631994766,0,,1075
1631994768,305,,1077
1631994770,306,,1079
1631994771,306,,1080
1631994773,0,,1082
1631994774,0,,1083
1631994776,306,,1085
1631994778,306,,1087
1631994779,0,,1088
1631994781,0,,1090
1631994782,0,,1091
1631994784,306,,1093
1631994786,306,,1095
1631994787,0,,1096
1631994789,0,,1098
1631994791,306,,1100
1631994792,306,,1101
1631994794,306,,1103
1631994795,0,,1104
1631994797,0,,1106
1631994799,306,,1108
1631994800,306,,1109
1631994802,0,,1111
1631994804,0,,1113
1631994805,0,,1114
1631994807,306,,1116
1631994808,306,,1117
1631994810,0,,1119
1631994812,0,,1121
1631994813,0,,1122
1631994815,306,,1124
1631994817,306,,1126
1631994818,0,,1127
1631994820,0,,1129
1631994821,306,,1130
1631994823,304,,1132
1631994825,304,,1134
1631994826,0,,1135
1631994828,0,,1137
1631994830,306,,1139
1631994831,306,,1140
1631994833,306,,1142
1631994835,0,,1144
1631994836,0,,1145
1631994838,306,,1147
1631994839,305,,1148
1631994841,0,,1150
1631994843,0,,1152
1631994844,0,,1153
1631994846,305,,1155
1631994847,305,,1156
1631994849,0,,1158
1631994851,0,,1160
1631994852,306,,1161
1631994854,306,,1163
1631994856,306,,1165
1631994857,0,,1166
1631994859,0,,1168
1631994860,306,,1169
1631994862,306,,1171
1631994864,0,,1173
1631994865,0,,1174
1631994867,0,,1176
1631994869,305,,1178
1631994870,305,,1179
1631994872,0,,1181
1631994873,0,,1182
1631994875,305,,1184
1631994877,305,,1186
1631994878,305,,1187
1631994880,0,,1189
1631994881,0,,1190
1631994883,305,,1192
1631994885,305,,1194
1631994886,0,,1195
1631994888,0,,1197
1631994890,0,,1199
1631994891,304,,1200
1631994893,306,,1202
1631994894,0,,1203
1631994896,0,,1205
1631994898,306,,1207
1631994899,306,,1208
1631994901,306,,1210
1631994903,0,,1212
1631994904,0,,1213
1631994906,306,,1215
1631994907,306,,1216
1631994909,0,,1218
1631994911,0,,1220
1631994912,0,,1221
1631994914,306,,1223
1631994915,306,,1224
1631994917,0,,1226
1631994919,0,,1228
1631994920,305,,1229
1631994922,305,,1231
1631994924,306,,1233
1631994925,0,,1234
1631994927,0,,1236
1631994928,306,,1237
1631994930,305,,1239
1631994932,0,,1241
1631994933,0,,1242
1631994935,0,,1244
1631994936,305,,1245
1631994938,306,,1247
1631994940,0,,1249
1631994941,0,,1250
1631994943,306,,1252
1631994945,306,,1254
1631994946,306,,1255
1631994948,0,,1257
1631994949,0,,1258
1631994951,306,,1260
1631994953,306,,1262
1631994954,0,,1263
1631994956,0,,1265
1631994958,0,,1267
1631994959,306,,1268
1631994961,306,,1270
1631994962,0,,1271
1631994964,0,,1273
1631994966,0,,1275
1631994967,306,,1276
1631994969,306,,1278
1631994970,0,,1279
1631994972,0,,1281
1631994974,306,,1283
1631994975,306,,1284
1631994977,306,,1286
1631994979,0,,1288
1631994980,0,,1289
1631994982,306,,1291
1631994983,306,,1292
1631994985,0,,1294
1631994987,0,,1296
1631994988,0,,1297
1631994990,306,,1299
1631994992,306,,1301
1631994993,0,,1302
1631994995,0,,1304
1631994996,306,,1305
1631994998,306,,1307
1631995000,306,,1309
1631995001,0,,1310
1631995003,0,,1312
1631995005,306,,1314
1631995006,306,,1315
1631995008,0,,1317
1631995009,0,,1318
1631995011,0,,1320
1631995013,306,,1322
1631995014,306,,1323
1631995016,0,,1325
1631995018,0,,1327
1631995019,0,,1328
1631995021,306,,1330
1631995022,306,,1331
1631995024,0,,1333
1631995026,0,,1335
1631995027,305,,1336
1631995029,306,,1338
1631995031,306,,1340
1631995032,0,,1341
1631995034,0,,1343
1631995035,306,,1344
1631995037,306,,1346
1631995039,0,,1348
1631995040,0,,1349
1631995042,0,,1351
1631995044,306,,1353
1631995045,306,,1354
1631995047,0,,1356
1631995048,0,,1357
1631995050,306,,1359
1631995052,306,,1361
1631995053,306,,1362
1631995055,0,,1364
1631995056,0,,1365
1631995058,306,,1367
1631995060,305,,1369
1631995061,0,,1370
1631995063,0,,1372
1631995065,0,,1374
1631995066,306,,1375
1631995068,306,,1377
1631995069,0,,1378
1631995071,0,,1380
1631995073,0,,1382
1631995074,306,,1383
1631995076,306,,1385
1631995078,0,,1387
1631995079,0,,1388
1631995081,305,,1390
1631995082,305,,1391
1631995084,305,,1393
1631995086,0,,1395
1631995087,0,,1396
1631995089,305,,1398
1631995091,305,,1400
1631995092,0,,1401
1631995094,0,,1403
1631995095,0,,1404
1631995097,306,,1406
1631995099,306,,1408
1631995100,0,,1409
1631995102,0,,1411
1631995103,306,,1412
1631995105,306,,1414
1631995107,306,,1416
1631995108,0,,1417
1631995110,0,,1419
1631995112,306,,1421
1631995113,306,,1422
1631995115,0,,1424
1631995116,0,,1425
1631995118,0,,1427
1631995120,306,,1429
1631995121,306,,1430
1631995123,0,,1432
1631995125,0,,1434
1631995126,0,,1435
