Time,Disk_Usage,,Reference_Time
1631983170,304,,719
1631983172,304,,721
1631983174,304,,723
1631983175,0,,724
1631983177,304,,726
1631983179,304,,728
1631983180,304,,729
1631983182,304,,731
1631983184,0,,733
1631983186,301,,735
1631983187,301,,736
1631983189,301,,738
1631983191,303,,740
1631983192,303,,741
1631983194,303,,743
1631983196,304,,745
1631983198,304,,747
1631983199,304,,748
1631983201,304,,750
1631983203,304,,752
1631983204,304,,753
1631983206,0,,755
1631983208,303,,757
1631983210,303,,759
1631983211,0,,760
1631983213,304,,762
1631983215,304,,764
1631983216,304,,765
1631983218,304,,767
1631983220,304,,769
1631983222,304,,771
1631983223,304,,772
1631983225,304,,774
1631983227,304,,776
1631983228,304,,777
1631983230,304,,779
1631983232,304,,781
1631983234,0,,783
1631983235,304,,784
1631983237,304,,786
1631983239,304,,788
1631983240,304,,789
1631983242,0,,791
1631983244,304,,793
1631983245,303,,794
1631983247,303,,796
1631983249,303,,798
1631983251,0,,800
1631983252,303,,801
1631983254,303,,803
1631983256,303,,805
1631983257,304,,806
1631983259,0,,808
1631983261,304,,810
1631983262,304,,811
1631983264,304,,813
1631983266,303,,815
1631983268,0,,817
1631983269,303,,818
1631983271,304,,820
1631983273,304,,822
1631983274,304,,823
1631983276,304,,825
1631983278,304,,827
1631983280,304,,829
1631983281,0,,830
1631983283,304,,832
1631983285,304,,834
1631983286,304,,835
1631983288,304,,837
1631983290,0,,839
1631983291,304,,840
1631983293,304,,842
1631983295,304,,844
1631983297,303,,846
1631983298,303,,847
1631983300,303,,849
1631983302,304,,851
1631983303,304,,852
1631983305,304,,854
1631983307,304,,856
1631983308,304,,857
1631983310,304,,859
1631983312,0,,861
1631983314,303,,863
1631983315,304,,864
1631983317,304,,866
1631983319,304,,868
1631983320,0,,869
1631983322,304,,871
1631983324,304,,873
1631983325,304,,874
1631983327,303,,876
1631983329,0,,878
1631983331,303,,880
1631983332,304,,881
1631983334,304,,883
1631983336,304,,885
1631983337,304,,886
1631983339,304,,888
1631983341,304,,890
1631983343,0,,892
1631983344,304,,893
1631983346,304,,895
1631983348,304,,897
1631983350,304,,899
1631983352,304,,901
1631983353,304,,902
1631983355,304,,904
1631983357,304,,906
1631983359,0,,908
1631983360,304,,909
1631983362,304,,911
1631983364,0,,913
1631983366,304,,915
1631983367,304,,916
1631983369,0,,918
1631983371,304,,920
1631983372,304,,921
1631983374,304,,923
1631983376,304,,925
1631983378,304,,927
1631983379,304,,928
1631983381,304,,930
1631983383,304,,932
1631983385,304,,934
1631983386,304,,935
1631983388,0,,937
1631983390,304,,939
1631983392,304,,941
1631983393,0,,942
1631983395,304,,944
1631983397,303,,946
1631983399,0,,948
1631983400,303,,949
1631983402,304,,951
1631983404,0,,953
1631983406,304,,955
1631983407,304,,956
1631983409,304,,958
1631983411,304,,960
1631983413,304,,962
1631983414,304,,963
1631983416,304,,965
1631983418,304,,967
1631983420,304,,969
1631983421,304,,970
1631983423,0,,972
1631983425,304,,974
1631983427,304,,976
1631983428,304,,977
1631983430,304,,979
1631983432,304,,981
1631983434,0,,983
1631983435,304,,984
1631983437,304,,986
1631983439,0,,988
1631983441,304,,990
1631983442,303,,991
1631983444,303,,993
1631983446,301,,995
1631983448,301,,997
1631983449,301,,998
1631983451,304,,1000
1631983453,304,,1002
1631983455,304,,1004
1631983456,304,,1005
1631983458,304,,1007
1631983460,304,,1009
1631983462,304,,1011
1631983463,304,,1012
1631983465,304,,1014
1631983467,304,,1016
1631983469,304,,1018
1631983473,608,,1022
1631983474,0,,1023
1631983476,303,,1025
1631983478,303,,1027
1631983479,303,,1028
1631983481,304,,1030
1631983483,304,,1032
1631983484,304,,1033
1631983486,304,,1035
1631983488,304,,1037
1631983489,304,,1038
1631983491,304,,1040
1631983493,304,,1042
1631983494,304,,1043
1631983496,304,,1045
1631983498,304,,1047
1631983500,304,,1049
1631983501,304,,1050
1631983503,304,,1052
1631983505,304,,1054
1631983506,304,,1055
1631983508,304,,1057
1631983510,304,,1059
1631983511,0,,1060
1631983513,304,,1062
1631983515,304,,1064
1631983516,304,,1065
1631983518,304,,1067
1631983520,0,,1069
1631983522,303,,1071
1631983523,303,,1072
1631983525,303,,1074
1631983527,304,,1076
1631983528,0,,1077
1631983530,304,,1079
1631983532,304,,1081
1631983533,304,,1082
1631983535,304,,1084
1631983537,303,,1086
1631983538,303,,1087
1631983540,0,,1089
1631983542,303,,1091
1631983543,303,,1092
1631983545,303,,1094
1631983547,304,,1096
1631983548,304,,1097
1631983550,304,,1099
1631983552,304,,1101
1631983553,304,,1102
1631983555,304,,1104
1631983557,304,,1106
1631983558,304,,1107
1631983560,0,,1109
1631983562,304,,1111
1631983563,304,,1112
1631983565,304,,1114
1631983567,304,,1116
1631983568,0,,1117
1631983570,304,,1119
1631983572,304,,1121
1631983573,304,,1122
1631983575,304,,1124
1631983577,303,,1126
1631983578,303,,1127
1631983580,0,,1129
1631983582,304,,1131
1631983583,304,,1132
1631983585,304,,1134
1631983587,304,,1136
1631983588,304,,1137
1631983590,304,,1139
1631983592,0,,1141
1631983593,304,,1142
1631983595,304,,1144
1631983597,304,,1146
1631983598,304,,1147
1631983600,304,,1149
1631983602,303,,1151
1631983604,303,,1153
1631983605,303,,1154
1631983607,304,,1156
1631983609,304,,1158
1631983610,304,,1159
1631983612,304,,1161
1631983614,304,,1163
1631983615,304,,1164
1631983617,304,,1166
1631983619,304,,1168
1631983620,0,,1169
1631983622,304,,1171
1631983624,304,,1173
1631983625,304,,1174
1631983627,304,,1176
1631983629,0,,1178
1631983631,304,,1180
