current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
6184,2912,1,3272
6184,2908,1,3276
6184,2904,1,3280
6184,2900,1,3284
6184,2896,1,3288
6184,2892,1,3292
6184,2888,1,3296
6184,2884,1,3300
6184,2880,1,3304
6184,2876,1,3308
6184,2872,1,3312
6184,2868,1,3316
6184,2864,1,3320
6184,2860,1,3324
6184,2856,1,3328
6184,2852,1,3332
6184,2848,1,3336
6184,2844,1,3340
6184,2840,1,3344
6184,2832,1,3352
6184,2828,1,3356
6184,2824,1,3360
6184,2820,1,3364
6184,2816,1,3368
6184,2812,1,3372
6184,2808,1,3376
6184,2804,1,3380
6184,2800,1,3384
6184,2796,1,3388
6184,2792,1,3392
6184,2788,1,3396
6184,2784,1,3400
6184,2780,1,3404
6184,2776,1,3408
6184,2772,1,3412
6184,2768,1,3416
6184,2764,1,3420
6184,2760,1,3424
6184,2756,1,3428
6184,2748,1,3436
6184,2748,1,3436
6184,2744,1,3440
6184,2736,1,3448
6184,2732,1,3452
6184,2728,1,3456
6184,2724,1,3460
6184,2724,1,3460
6184,2720,1,3464
6184,2716,1,3468
6184,2708,1,3476
6184,2704,1,3480
6184,2700,1,3484
6184,2696,1,3488
6184,2692,1,3492
6184,2688,1,3496
6184,2684,1,3500
6184,2680,1,3504
6184,2676,1,3508
6184,2672,1,3512
6184,2668,1,3516
6184,2664,1,3520
6184,2660,1,3524
6184,2656,1,3528
6184,2652,1,3532
6184,2648,1,3536
6184,2644,1,3540
6184,2640,1,3544
6184,2636,1,3548
6184,2632,1,3552
6184,2628,1,3556
6184,2624,1,3560
6184,2620,1,3564
6184,2616,1,3568
6184,2612,1,3572
6184,2608,1,3576
6184,2604,1,3580
6184,2600,1,3584
6184,2596,1,3588
6184,2592,1,3592
6184,2588,1,3596
6184,2584,1,3600
6184,2580,1,3604
6184,2576,1,3608
6184,2572,1,3612
6184,2568,1,3616
6184,2560,1,3624
6184,2556,1,3628
6184,2552,1,3632
6184,2548,1,3636
6184,2544,1,3640
6184,2540,1,3644
6184,2536,1,3648
6184,2532,1,3652
6184,2528,1,3656
6184,2524,1,3660
6184,2520,1,3664
6184,2516,1,3668
6184,2512,1,3672
6184,2508,1,3676
6184,2504,1,3680
6184,2500,1,3684
6184,2496,1,3688
6184,2492,1,3692
6184,2488,1,3696
6184,2484,1,3700
6184,2480,1,3704
6184,2472,1,3712
6184,2468,1,3716
6184,2464,1,3720
6184,2460,1,3724
6184,2456,1,3728
6184,2452,1,3732
6184,2448,1,3736
6184,2444,1,3740
6184,2440,1,3744
6184,2436,1,3748
6184,2432,1,3752
6184,2428,1,3756
6184,2424,1,3760
6184,2420,1,3764
6184,2416,1,3768
6184,2412,1,3772
6184,2408,1,3776
6184,2404,1,3780
6184,2396,1,3788
6184,2392,1,3792
6184,2388,1,3796
6184,2384,1,3800
6184,2380,1,3804
6184,2376,1,3808
6184,2372,1,3812
6184,2368,1,3816
6184,2364,1,3820
6184,2360,1,3824
6184,2356,1,3828
6184,2352,1,3832
6184,2348,1,3836
6184,2344,1,3840
6184,2340,1,3844
6184,2336,1,3848
6184,2332,1,3852
6184,2328,1,3856
6184,2320,1,3864
6184,2316,1,3868
6184,2312,1,3872
6184,2308,1,3876
6184,2304,1,3880
6184,2300,1,3884
6184,2296,1,3888
6184,2292,1,3892
6184,2288,1,3896
6184,2284,1,3900
6184,2280,1,3904
6184,2276,1,3908
6184,2272,1,3912
6184,2076,1,4108
6184,2072,1,4112
6184,2068,1,4116
6184,2060,1,4124
