Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629682735,6.35905E+11,468881408,243592,,5983
1629682736,6.3595E+11,468934656,243600,,5984
1629682737,6.35992E+11,468733952,243604,,5985
1629682739,6.36044E+11,468692992,243608,,5987
1629682740,6.36085E+11,468877312,243612,,5988
1629682741,6.36136E+11,468811776,243616,,5989
1629682742,6.36178E+11,468668416,243620,,5990
1629682744,6.36233E+11,468803584,243624,,5992
1629682745,6.36273E+11,468914176,243632,,5993
1629682746,6.36307E+11,468987904,243632,,5994
1629682747,6.36342E+11,468799488,243636,,5995
1629682749,6.36397E+11,468828160,243640,,5997
1629682750,6.36435E+11,468926464,243648,,5998
1629682751,6.36478E+11,468840448,243652,,5999
1629682752,6.36518E+11,468803584,243656,,6000
1629682753,6.36572E+11,469057536,243660,,6001
1629682755,6.36615E+11,468852736,243664,,6003
1629682756,6.36655E+11,468881408,243672,,6004
1629682757,6.36694E+11,468955136,243676,,6005
1629682758,6.36748E+11,469037056,243680,,6006
1629682759,6.36786E+11,469016576,243684,,6007
1629682761,6.36827E+11,469049344,243688,,6009
1629682762,6.36869E+11,469131264,243692,,6010
1629682763,6.36922E+11,468996096,243696,,6011
1629682764,6.36962E+11,469114880,243704,,6012
1629682766,6.37006E+11,468897792,243708,,6014
1629682767,6.37046E+11,468922368,243712,,6015
1629682768,6.37103E+11,469114880,243716,,6016
1629682769,6.37138E+11,469032960,243720,,6017
1629682770,6.37181E+11,469053440,243724,,6018
1629682772,6.37222E+11,468860928,243732,,6020
1629682773,6.3728E+11,469020672,243736,,6021
1629682774,6.37323E+11,468852736,243740,,6022
1629682775,6.37367E+11,468930560,243748,,6023
1629682776,6.37416E+11,468750336,243752,,6024
1629682778,6.3746E+11,468852736,243756,,6026
1629682779,6.37513E+11,469065728,243760,,6027
1629682780,6.37556E+11,468971520,243768,,6028
1629682781,6.376E+11,469168128,243772,,6029
1629682782,6.37639E+11,469028864,243776,,6030
1629682783,6.37698E+11,468983808,243784,,6031
1629682785,6.3774E+11,468803584,243788,,6033
1629682786,6.37785E+11,469098496,243792,,6034
