Time,Disk_Usage,,Ref_Time
1632128142,210,,1440
1632128143,209,,1441
1632128145,208,,1443
1632128146,209,,1444
1632128148,207,,1446
1632128150,205,,1448
1632128151,206,,1449
1632128153,207,,1451
1632128155,208,,1453
1632128156,0,,1454
1632128158,205,,1456
1632128159,0,,1457
1632128161,207,,1459
1632128163,209,,1461
1632128164,209,,1462
1632128166,208,,1464
1632128168,210,,1466
1632128169,210,,1467
1632128171,210,,1469
1632128172,208,,1470
1632128174,209,,1472
1632128176,210,,1474
1632128177,0,,1475
1632128179,206,,1477
1632128181,0,,1479
1632128182,210,,1480
1632128184,210,,1482
1632128185,210,,1483
1632128187,210,,1485
1632128189,210,,1487
1632128190,210,,1488
1632128192,210,,1490
1632128194,208,,1492
1632128195,208,,1493
1632128197,208,,1495
1632128198,210,,1496
1632128200,210,,1498
1632128202,208,,1500
1632128203,208,,1501
1632128205,0,,1503
1632128206,209,,1504
1632128208,0,,1506
1632128210,209,,1508
1632128211,210,,1509
1632128213,207,,1511
1632128215,207,,1513
1632128216,206,,1514
1632128218,210,,1516
1632128220,207,,1518
1632128221,210,,1519
1632128223,0,,1521
1632128224,210,,1522
1632128226,0,,1524
1632128228,208,,1526
1632128229,0,,1527
1632128231,209,,1529
1632128233,209,,1531
1632128234,209,,1532
1632128236,209,,1534
1632128238,208,,1536
1632128239,210,,1537
1632128241,210,,1539
1632128242,211,,1540
1632128244,210,,1542
1632128246,211,,1544
1632128247,0,,1545
1632128249,211,,1547
1632128251,0,,1549
1632128252,210,,1550
1632128254,206,,1552
1632128255,206,,1553
1632128257,209,,1555
1632128259,210,,1557
1632128260,210,,1558
1632128262,209,,1560
1632128264,210,,1562
1632128265,0,,1563
1632128267,211,,1565
1632128269,0,,1567
1632128270,209,,1568
1632128272,0,,1570
1632128273,209,,1571
1632128275,209,,1573
1632128277,210,,1575
1632128278,210,,1576
1632128280,210,,1578
1632128282,210,,1580
1632128283,209,,1581
1632128285,209,,1583
1632128286,0,,1584
1632128288,210,,1586
1632128290,0,,1588
1632128291,209,,1589
1632128293,0,,1591
1632128295,207,,1593
1632128296,208,,1594
1632128298,208,,1596
1632128300,209,,1598
1632128301,210,,1599
1632128303,207,,1601
1632128304,208,,1602
1632128306,208,,1604
1632128308,209,,1606
1632128309,210,,1607
1632128311,0,,1609
1632128313,206,,1611
1632128314,0,,1612
1632128316,207,,1614
1632128317,208,,1615
1632128319,207,,1617
1632128321,209,,1619
1632128322,207,,1620
1632128324,209,,1622
1632128326,209,,1624
1632128327,209,,1625
1632128329,210,,1627
1632128330,209,,1628
1632128332,210,,1630
1632128334,208,,1632
1632128335,209,,1633
1632128337,208,,1635
1632128339,0,,1637
1632128340,209,,1638
1632128342,0,,1640
1632128343,210,,1641
1632128345,210,,1643
1632128347,211,,1645
1632128348,209,,1646
1632128350,209,,1648
1632128352,207,,1650
1632128353,206,,1651
1632128355,205,,1653
1632128356,207,,1654
1632128358,208,,1656
1632128360,209,,1658
1632128361,207,,1659
1632128363,0,,1661
1632128365,208,,1663
1632128366,0,,1664
1632128368,210,,1666
1632128369,209,,1667
1632128371,209,,1669
1632128373,209,,1671
1632128374,209,,1672
1632128376,208,,1674
1632128377,208,,1675
1632128379,207,,1677
1632128381,209,,1679
1632128382,209,,1680
1632128384,211,,1682
1632128386,209,,1684
1632128387,0,,1685
1632128389,210,,1687
1632128391,0,,1689
1632128392,210,,1690
1632128394,208,,1692
1632128395,209,,1693
1632128397,207,,1695
1632128399,209,,1697
1632128400,209,,1698
1632128402,209,,1700
1632128404,210,,1702
1632128405,208,,1703
1632128407,209,,1705
1632128408,0,,1706
1632128410,207,,1708
1632128412,0,,1710
1632128413,206,,1711
1632128415,210,,1713
1632128417,209,,1715
1632128418,211,,1716
1632128420,209,,1718
1632128421,211,,1719
1632128423,208,,1721
1632128425,209,,1723
1632128426,209,,1724
1632128428,209,,1726
1632128430,209,,1728
1632128431,209,,1729
1632128433,0,,1731
1632128434,210,,1732
1632128436,0,,1734
1632128438,209,,1736
1632128439,207,,1737
1632128441,209,,1739
1632128443,211,,1741
1632128444,210,,1742
1632128446,211,,1744
1632128447,209,,1745
1632128449,209,,1747
1632128451,207,,1749
1632128452,205,,1750
1632128454,205,,1752
1632128456,207,,1754
1632128457,0,,1755
1632128459,210,,1757
1632128460,0,,1758
1632128462,209,,1760
1632128464,0,,1762
1632128465,211,,1763
1632128467,209,,1765
1632128469,208,,1767
1632128470,209,,1768
1632128472,209,,1770
1632128473,208,,1771
1632128475,208,,1773
1632128477,208,,1775
1632128478,209,,1776
1632128480,210,,1778
1632128481,207,,1779
1632128483,211,,1781
1632128485,0,,1783
1632128486,210,,1784
1632128488,0,,1786
1632128490,209,,1788
1632128491,0,,1789
1632128493,210,,1791
1632128495,208,,1793
1632128496,209,,1794
1632128498,210,,1796
1632128499,210,,1797
1632128501,210,,1799
1632128503,210,,1801
1632128504,208,,1802
1632128506,0,,1804
1632128508,209,,1806
1632128509,0,,1807
1632128511,209,,1809
1632128512,0,,1810
1632128514,207,,1812
1632128516,205,,1814
1632128517,205,,1815
1632128519,209,,1817
1632128521,209,,1819
1632128522,210,,1820
1632128524,210,,1822
1632128525,210,,1823
1632128527,211,,1825
1632128529,209,,1827
1632128530,0,,1828
1632128532,209,,1830
1632128534,0,,1832
1632128535,207,,1833
1632128537,209,,1835
1632128539,210,,1837
1632128540,209,,1838
1632128542,207,,1840
1632128543,210,,1841
1632128545,211,,1843
1632128547,210,,1845
1632128548,210,,1846
1632128550,208,,1848
1632128552,0,,1850
1632128553,204,,1851
1632128555,0,,1853
1632128556,204,,1854
1632128558,0,,1856
1632128560,209,,1858
1632128561,210,,1859
1632128563,210,,1861
1632128565,208,,1863
1632128566,208,,1864
1632128568,210,,1866
1632128569,210,,1867
1632128571,207,,1869
1632128573,210,,1871
1632128574,209,,1872
1632128576,0,,1874
1632128578,210,,1876
1632128579,209,,1877
1632128581,209,,1879
1632128583,211,,1881
1632128584,211,,1882
1632128586,210,,1884
1632128587,211,,1885
1632128589,210,,1887
1632128591,209,,1889
1632128592,210,,1890
1632128594,0,,1892
1632128596,209,,1894
1632128597,0,,1895
1632128599,210,,1897
1632128600,210,,1898
1632128602,210,,1900
1632128604,206,,1902
1632128605,206,,1903
1632128607,206,,1905
1632128609,209,,1907
1632128610,209,,1908
1632128612,209,,1910
1632128614,205,,1912
1632128615,208,,1913
1632128617,205,,1915
1632128618,0,,1916
1632128620,209,,1918
1632128622,0,,1920
1632128623,210,,1921
1632128625,209,,1923
1632128627,211,,1925
1632128628,208,,1926
1632128630,207,,1928
1632128631,208,,1929
1632128633,209,,1931
1632128635,209,,1933
1632128636,207,,1934
1632128638,210,,1936
1632128640,0,,1938
1632128641,209,,1939
1632128643,211,,1941
1632128644,211,,1942
1632128646,211,,1944
1632128648,209,,1946
1632128649,209,,1947
1632128651,209,,1949
1632128653,210,,1951
1632128654,209,,1952
1632128656,208,,1954
1632128657,209,,1955
1632128659,209,,1957
1632128661,0,,1959
1632128662,210,,1960
1632128664,0,,1962
1632128666,209,,1964
1632128667,210,,1965
1632128669,209,,1967
1632128671,210,,1969
1632128672,210,,1970
1632128674,205,,1972
1632128675,205,,1973
1632128677,206,,1975
1632128679,207,,1977
1632128680,206,,1978
1632128682,0,,1980
1632128684,210,,1982
1632128685,0,,1983
1632128687,210,,1985
1632128688,211,,1986
1632128690,209,,1988
1632128692,210,,1990
1632128693,209,,1991
1632128695,208,,1993
1632128697,209,,1995
1632128698,211,,1996
1632128700,211,,1998
1632128701,210,,1999
1632128703,209,,2001
1632128705,209,,2003
1632128706,0,,2004
1632128708,207,,2006
1632128710,0,,2008
1632128711,207,,2009
1632128713,206,,2011
1632128714,205,,2012
1632128716,205,,2014
1632128718,209,,2016
1632128719,209,,2017
1632128721,210,,2019
1632128723,209,,2021
1632128724,209,,2022
1632128726,209,,2024
1632128727,210,,2025
1632128729,209,,2027
1632128731,0,,2029
1632128732,207,,2030
1632128734,209,,2032
1632128736,209,,2034
1632128737,210,,2035
1632128739,210,,2037
1632128741,210,,2039
1632128742,210,,2040
1632128744,208,,2042
1632128745,208,,2043
1632128747,206,,2045
1632128749,209,,2047
1632128750,208,,2048
1632128752,0,,2050
1632128753,205,,2051
1632128755,0,,2053
1632128757,207,,2055
1632128758,0,,2056
1632128760,208,,2058
1632128762,208,,2060
1632128763,210,,2061
1632128765,209,,2063
1632128767,210,,2065
1632128768,207,,2066
1632128770,207,,2068
1632128771,208,,2069
1632128773,208,,2071
1632128775,206,,2073
1632128776,0,,2074
1632128778,207,,2076
1632128780,0,,2078
1632128781,206,,2079
1632128783,207,,2081
1632128784,210,,2082
1632128786,208,,2084
