Time,Disk_Usage,,Ref_Time
1632077702,66022,,704
1632077703,66230,,705
1632077705,66229,,707
1632077707,66434,,709
1632077708,66437,,710
1632077710,66643,,712
1632077711,67058,,713
1632077713,67056,,715
1632077715,67262,,717
1632077716,67263,,718
1632077718,67470,,720
1632077720,67677,,722
1632077721,67886,,723
1632077723,67883,,725
1632077724,68088,,726
1632077726,68086,,728
1632077728,68500,,730
1632077729,68496,,731
1632077731,68706,,733
1632077733,68913,,735
1632077734,68913,,736
1632077736,69120,,738
1632077737,69330,,739
1632077739,69537,,741
1632077741,69536,,743
1632077742,69743,,744
1632077744,69742,,746
1632077746,70160,,748
1632077747,70159,,749
1632077749,70367,,751
1632077751,70571,,753
1632077752,70567,,754
1632077754,70770,,756
1632077755,70976,,757
1632077757,71180,,759
1632077759,71179,,761
1632077760,71387,,762
1632077762,71390,,764
1632077764,71806,,766
1632077765,72017,,767
1632077767,72018,,769
1632077769,72228,,771
1632077770,72227,,772
1632077772,72436,,774
1632077773,72644,,775
1632077775,72854,,777
1632077777,72855,,779
1632077778,73061,,780
1632077780,73058,,782
1632077782,73478,,784
1632077783,73480,,785
1632077785,73692,,787
1632077786,73899,,788
1632077788,73899,,790
1632077790,74108,,792
1632077791,74317,,793
1632077793,74526,,795
1632077795,74525,,797
1632077796,74735,,798
1632077798,74734,,800
1632077800,75153,,802
1632077801,75151,,803
1632077803,75357,,805
1632077804,75567,,806
1632077806,75567,,808
1632077808,75776,,810
1632077809,75984,,811
1632077811,76191,,813
1632077813,76189,,815
1632077814,76398,,816
1632077816,76397,,818
1632077818,76816,,820
1632077819,76814,,821
1632077821,77024,,823
1632077822,77231,,824
1632077824,77229,,826
1632077826,77648,,828
1632077827,77647,,829
1632077829,77850,,831
1632077831,77849,,833
1632077832,78053,,834
1632077834,78050,,836
1632077836,78469,,838
1632077837,78680,,839
1632077839,78680,,841
1632077841,78888,,843
1632077842,78886,,844
1632077844,79095,,846
1632077845,79302,,847
1632077847,79507,,849
1632077849,79504,,851
1632077850,79709,,852
1632077852,79705,,854
1632077854,80118,,856
1632077855,80114,,857
1632077857,80325,,859
1632077859,80540,,861
1632077860,80539,,862
1632077862,80958,,864
1632077863,80957,,865
1632077865,81166,,867
1632077867,81164,,869
1632077868,81370,,870
1632077870,81368,,872
1632077871,81786,,873
1632077873,81996,,875
1632077875,81995,,877
1632077877,82203,,879
1632077878,82202,,880
1632077880,82621,,882
1632077881,82621,,883
1632077883,82831,,885
1632077885,82830,,887
1632077886,83042,,888
1632077888,83045,,890
1632077890,83465,,892
1632077891,83673,,893
1632077893,83672,,895
1632077895,83880,,897
1632077896,83880,,898
1632077898,84298,,900
1632077899,84301,,901
1632077901,84506,,903
1632077903,84505,,905
1632077904,84711,,906
1632077906,84709,,908
1632077908,85129,,910
1632077909,85336,,911
1632077911,85333,,913
1632077912,85538,,914
1632077914,85535,,916
1632077916,85950,,918
1632077917,85951,,919
1632077919,86156,,921
1632077920,86154,,922
1632077922,86360,,924
1632077924,86568,,926
1632077925,86776,,927
1632077927,86775,,929
1632077929,86983,,931
1632077930,86980,,932
1632077932,87393,,934
1632077934,87594,,936
1632077935,87592,,937
1632077937,87800,,939
1632077938,87798,,940
1632077940,88007,,942
1632077942,88217,,944
1632077943,88427,,945
1632077945,88426,,947
1632077947,88633,,949
1632077948,88635,,950
1632077950,89050,,952
1632077951,89049,,953
1632077953,89252,,955
1632077955,89460,,957
1632077956,89461,,958
1632077958,89878,,960
1632077960,89878,,962
1632077961,90085,,963
1632077963,90086,,965
1632077964,90293,,966
1632077966,90290,,968
1632077968,90707,,970
1632077969,90704,,971
1632077971,90912,,973
1632077973,90913,,975
1632077974,91124,,976
1632077976,91542,,978
1632077977,91543,,979
1632077979,91752,,981
1632077981,91753,,983
1632077982,91964,,984
1632077984,91965,,986
1632077986,92382,,988
1632077987,92380,,989
1632077989,92590,,991
1632077991,92590,,993
1632077992,92794,,994
1632077994,93212,,996
1632077995,93211,,997
1632077997,93420,,999
1632077999,93418,,1001
1632078000,93627,,1002
1632078002,93836,,1004
1632078004,94043,,1006
1632078005,94042,,1007
1632078007,94247,,1009
1632078008,94245,,1010
1632078010,94450,,1012
1632078012,94862,,1014
1632078013,94859,,1015
1632078015,95068,,1017
1632078017,95068,,1019
1632078018,95276,,1020
1632078020,95486,,1022
1632078022,95681,,1024
