current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
26.896,1.769142,1,25.126858
26.896,1.76518,1,25.13082
26.896,1.761225,1,25.134775
26.896,1.757263,1,25.138737
26.896,1.7533,1,25.1427
26.896,1.745424,1,25.150576
26.896,1.741757,1,25.154243
26.896,1.737558,1,25.158442
26.896,1.73353,1,25.16247
26.896,1.729519,1,25.166481
26.896,1.72555,1,25.17045
26.896,1.721579,1,25.174421
26.896,1.717617,1,25.178383
26.896,1.713652,1,25.182348
26.896,1.709704,1,25.186296
26.896,1.705734,1,25.190266
26.896,1.697857,1,25.198143
26.896,1.694197,1,25.201803
26.896,1.69001,1,25.20599
26.896,1.68597,1,25.21003
26.896,1.68197,1,25.21403
26.896,1.677994,1,25.218006
26.896,1.674025,1,25.221975
26.896,1.670057,1,25.225943
26.896,1.666088,1,25.229912
26.896,1.658222,1,25.237778
26.896,1.654554,1,25.241446
26.896,1.650368,1,25.245632
26.896,1.646328,1,25.249672
26.896,1.64232,1,25.25368
26.896,1.638352,1,25.257648
26.896,1.634382,1,25.261618
26.896,1.630415,1,25.265585
26.896,1.626469,1,25.269531
26.896,1.622498,1,25.273502
26.896,1.61854,1,25.27746
26.896,1.61065,1,25.28535
26.896,1.606995,1,25.289005
26.896,1.602799,1,25.293201
26.896,1.598765,1,25.297235
26.896,1.594755,1,25.301245
26.896,1.59078,1,25.30522
26.896,1.586811,1,25.309189
26.896,1.582855,1,25.313145
26.896,1.57889,1,25.31711
26.896,1.57101,1,25.32499
26.896,1.567345,1,25.328655
26.896,1.563164,1,25.332836
26.896,1.559122,1,25.336878
26.896,1.555117,1,25.340883
26.896,1.551146,1,25.344854
26.896,1.547176,1,25.348824
26.896,1.543224,1,25.352776
26.896,1.539251,1,25.356749
26.896,1.535286,1,25.360714
26.896,1.531326,1,25.364674
26.896,1.527357,1,25.368643
26.896,1.51948,1,25.37652
26.896,1.515812,1,25.380188
26.896,1.511616,1,25.384384
26.896,1.50759,1,25.38841
26.896,1.503586,1,25.392414
26.896,1.499605,1,25.396395
26.896,1.495636,1,25.400364
26.896,1.49168,1,25.40432
26.896,1.487707,1,25.408293
26.896,1.483753,1,25.412247
26.896,1.479786,1,25.416214
26.896,1.47582,1,25.42018
26.896,1.467938,1,25.428062
26.896,1.464268,1,25.431732
26.896,1.460087,1,25.435913
26.896,1.456045,1,25.439955
26.896,1.452042,1,25.443958
26.896,1.448065,1,25.447935
26.896,1.444103,1,25.451897
26.896,1.440136,1,25.455864
26.896,1.43617,1,25.45983
26.896,1.432217,1,25.463783
26.896,1.428246,1,25.467754
26.896,1.420363,1,25.475637
26.896,1.416699,1,25.479301
26.896,1.412508,1,25.483492
26.896,1.408472,1,25.487528
26.896,1.404469,1,25.491531
26.896,1.400492,1,25.495508
26.896,1.39652,1,25.49948
26.896,1.39256,1,25.50344
26.896,1.388592,1,25.507408
26.896,1.384634,1,25.511366
26.896,1.380669,1,25.515331
26.896,1.376694,1,25.519306
26.896,1.368822,1,25.527178
26.896,1.36515,1,25.53085
26.896,1.360964,1,25.535036
26.896,1.35694,1,25.53906
26.896,1.35292,1,25.54308
26.896,1.348944,1,25.547056
26.896,1.344977,1,25.551023
26.896,1.341011,1,25.554989
26.896,1.337046,1,25.558954
26.896,1.329157,1,25.566843
26.896,1.3255,1,25.5705
26.896,1.32131,1,25.57469
26.896,1.31727,1,25.57873
26.896,1.31327,1,25.58273
26.896,1.309282,1,25.586718
